Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Repair Needed,Brand_Encoded,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Condition_excellent,Condition_fair,Condition_good,Condition_new,Condition_salvage,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
7500.0,-1.586378358987242,0.20935954603106635,0.9098707820034826,1321.4285714285713,1,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8200.0,0.16233677310247266,0.20935954603106635,-0.7184426817306143,14000.0,1,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
10500.0,1.3677617670672275,1.4462442722266602,-0.26613338624892074,14066.666666666666,1,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
15200.0,0.04349205538763769,0.20935954603106635,-0.8089045408269531,14777.777777777777,1,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
15500.0,-1.790112160784102,0.20935954603106635,4.890192582242387,347.22222222222223,1,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
6600.0,-0.33341547793655324,-1.0275251801645275,-0.26613338624892074,7386.666666666667,1,-0.4664141411223436,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
3400.0,-0.17721956322562726,-1.0275251801645275,0.18617590923277286,6000.0,1,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
9500.0,-0.7205097013505872,-1.0275251801645275,-0.8993663999232918,11000.0,0,-1.683661790432741,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
9800.0,-0.4271160489462924,-1.0275251801645275,-1.1707519772123078,21056.2,1,-1.683661790432741,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
6495.0,-0.17721956322562726,-1.0275251801645275,-0.7184426817306143,12000.0,1,-1.076534175193764,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
