Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Brand_Encoded,Condition_Risk,Title_Risk,Body_Risk,Fuel_Risk,Transmission_Risk,Price_Risk,Mileage_Risk,Age_Risk,Risk_Category,Condition_excellent,Condition_fair,Condition_good,Condition_like new,Condition_new,Condition_salvage,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Transmission_other,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
15500.0,0.19927479160968403,1.4909905541091564,-0.5093455323420473,13060.0,-0.10564009244470514,5.0,0,2.0,1,1.0,0,2,0,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
9900.0,-0.5205341075597308,-1.2903745530029764,-0.8744416779811786,9731.714285714286,-0.13093973648058735,5.0,0,0.0,1,1.0,1,0,0,Medium,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8700.0,-0.33199029028366805,0.10030800055308994,-0.8744416779811786,13047.0,-0.12866328227422597,5.0,0,0.0,1,1.0,1,0,0,Medium,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
7900.0,-0.27692285401456157,0.10030800055308994,-0.6553839905976998,9810.7,-0.12866328227422597,5.0,0,3.0,1,1.0,1,1,0,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4900.0,0.1892329870613489,1.4909905541091564,-0.3633070740863948,11106.0,-0.09519138625459973,5.0,0,1.0,1,1.0,2,2,1,Very High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16000.0,0.8108824343270541,1.4909905541091564,-0.3633070740863948,16571.428571428572,-0.08589119605073788,1.0,0,2.0,1,1.0,0,2,1,Medium,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
24500.0,-0.7327606596726843,0.10030800055308994,-0.8014224488533523,5250.0,0.006538472783025015,1.0,0,0.0,1,1.0,0,0,0,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
24500.0,-0.7327606596726843,0.10030800055308994,-0.8014224488533523,5250.0,0.006538472783025015,1.0,0,0.0,1,1.0,0,0,0,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
32000.0,-0.3427876675043294,1.4909905541091564,-0.6553839905976998,9000.0,-0.08129494844366653,1.0,0,2.0,1,1.0,0,0,0,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
29750.0,-0.8790005317358175,0.10030800055308994,2.1193467162596975,500.0,-0.10564009244470514,1.0,0,1.0,1,2.0,0,0,2,Low,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1500.0,0.1365541353692736,-1.2903745530029764,-0.5823647614698736,13545.454545454546,-0.13093973648058735,2.0,3,0.0,1,1.0,2,1,0,High,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
3500.0,0.08780751134822924,-1.2903745530029764,0.0748083006805627,7150.0,-0.12428117499903654,5.0,0,3.0,1,1.0,2,1,1,Very High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24900.0,-0.9529329115010682,0.10030800055308994,-1.1665185944924836,4966.666666666667,-0.01895906381457296,5.0,3,2.0,1,1.0,0,0,0,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
4200.0,0.7865091223165319,1.4909905541091564,1.0240582793423039,6939.393939393939,-0.08589119605073788,2.0,0,4.0,1,1.0,2,2,2,Very High,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
7500.0,-0.9927426544515877,-1.2903745530029764,2.9225582366657865,169.4915254237288,-0.13106728028337675,2.0,0,2.0,1,2.0,1,0,2,High,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4200.0,0.1642584666879005,0.10030800055308994,0.0748083006805627,7620.5,-0.08589119605073788,2.0,3,2.0,1,1.0,2,2,1,Very High,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3300.0,-0.07306447235855403,0.10030800055308994,-0.2172686158307423,7699.9375,-0.13595309396284028,1.0,0,0.0,1,1.0,2,1,1,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4400.0,0.3460427520997118,-1.2903745530029764,-0.2172686158307423,10924.0625,-0.08589119605073788,5.0,3,0.0,1,1.0,2,2,1,Very High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
7499.0,-0.4646542275569403,0.10030800055308994,-0.43632630321422106,5769.2307692307695,-0.11375529788121427,1.0,0,0.0,1,1.0,1,0,0,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
22750.0,0.6240203755797173,1.4909905541091564,-0.6553839905976998,20900.0,-0.04135372558812463,2.0,0,2.0,2,1.0,0,2,0,Medium,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
