Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Brand_Encoded,Condition_Risk,Title_Risk,Body_Risk,Fuel_Risk,Transmission_Risk,Price_Risk,Mileage_Risk,Age_Risk,Total_Risk,Risk_Category,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Condition_excellent,Condition_fair,Condition_good,Condition_like new,Condition_new,Condition_salvage,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
16000.0,1.7667916978295608,1.463080635392176,-0.3631325136198595,16571.428571428572,0.3045301097317832,2,0.0,2.0,1.0,1,0,2,1,9.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
24500.0,-1.4370446160272108,0.15765040644605063,-0.8727135743687128,5250.0,3.072377186858961,2,0.0,0.0,1.0,1,0,0,0,4.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
24500.0,-1.4370446160272108,0.15765040644605063,-0.8727135743687128,5250.0,3.072377186858961,2,0.0,0.0,1.0,1,0,0,0,4.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
29750.0,-1.7405659510241682,0.15765040644605063,2.524493497290309,500.0,-0.12119196770450724,2,0.0,,1.0,2,0,0,2,,,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1500.0,0.3672210975658132,-1.1477798225000746,-0.6179230439942861,13545.454545454546,-1.0935690106912732,3,2.0,0.0,1.0,1,2,1,0,10.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
24900.0,-1.8940128481615188,0.15765040644605063,-1.2973644583260906,4966.666666666667,2.309952922572823,1,2.0,2.0,1.0,1,0,0,0,7.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
4200.0,1.7162048086634014,1.463080635392176,1.250540845418176,6939.393939393939,0.3045301097317832,3,0.0,3.0,1.0,1,2,2,2,14.0,High,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7500.0,-1.976638100466246,-1.1477798225000746,3.45872544199654,169.4915254237288,-1.0422934457963882,3,0.0,,1.0,2,1,0,2,,,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4200.0,0.42472152825134796,0.15765040644605063,0.1464485471289938,7620.5,0.3045301097317832,3,2.0,2.0,1.0,1,2,2,2,15.0,High,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3300.0,-0.06784301155954764,0.15765040644605063,-0.1932721600369084,7699.9375,-1.082730412385332,2,0.0,0.0,1.0,1,2,1,1,8.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
7499.0,-0.8805888351994557,0.15765040644605063,-0.44806269041133506,5769.2307692307695,-0.9515649583463377,2,0.0,0.0,1.0,1,1,0,0,5.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
22750.0,1.3789588808890043,1.463080635392176,-0.7028532207857617,20900.0,2.6790630822669055,3,0.0,2.0,2.0,1,0,2,0,10.0,Medium,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4750.0,0.15723492063708494,-1.1477798225000746,-0.3631325136198595,9753.357142857143,0.3045301097317832,2,0.0,0.0,1.0,1,2,1,1,8.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
17500.0,-1.656254469080569,1.463080635392176,0.40123907750342047,1260.8695652173913,0.6800426329312276,1,0.0,,1.0,1,0,0,2,,,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8900.0,-0.1299805737519803,0.15765040644605063,-0.6179230439942861,10864.90909090909,0.2986127853433272,1,0.0,,1.0,1,1,1,0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8499.0,-0.6192232411742981,-1.1477798225000746,-0.7028532207857617,9050.0,-0.667502768422169,2,0.0,,1.0,1,1,0,0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
