Price,Year,Mileage,Cylinders,Brand_Encoded,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Condition_excellent,Condition_fair,Condition_good,Condition_new,Condition_salvage,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
1.199011173916243,0.8993663999232937,-1.0639369799128275,0.20935954603106635,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
-1.3557139334118373,0.08520966805624522,-0.7105776785129903,0.20935954603106635,-1.7617360722553292,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
-0.5041388976358105,0.6279808226342776,-0.5167758995537272,-1.0275251801645275,-1.683661790432741,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-0.8958634140927828,-0.27663776832910963,0.14535895628606765,0.20935954603106635,-2.460762811848352,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.6710346517351065,-0.18617590923277094,-1.246822022659142,0.20935954603106635,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
-0.18054038404092035,-1.090794500196158,1.0112276139227225,1.4462442722266602,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
-0.8447689119462213,0.5375189635379388,-0.42679347042678073,-1.0275251801645275,-1.9369963606774718,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
-0.7596114083686185,0.17567152715258394,0.05337314477478539,0.20935954603106635,0.8404155418411721,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2.05058620969227,-0.18617590923277094,-1.1279773049443071,0.20935954603106635,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1.3352631796404073,0.9898282590196325,-1.0770438544950922,0.20935954603106635,-0.8852693427994621,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.1138536703386404,0.5375189635379388,0.4462058702727642,1.4462442722266602,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
