Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Dodge,grand caravan sxt,1800,2007,207184,automatic,minivan,good,6,gas,Unknown,clean,https://chicago.craigslist.org/nch/cto/d/gurnee-2007-dodge-grand-caravan-minivan/7835230274.html
Amc,AMX,45000,1969,1234567,manual,coupe,like new,8,gas,Unknown,clean,https://chicago.craigslist.org/wcl/cto/d/saint-charles-1969-amx-resto-mod/7835229823.html
Ram,1500,3500,2017,223446,automatic,pickup,fair,Unknown,diesel,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/kankakee-2017-ram-1500/7835228858.html
Chevrolet,SSR,22900,2004,40950,automatic,pickup,excellent,8,gas,Unknown,clean,https://chicago.craigslist.org/wcl/cto/d/batavia-2004-chevrolet-ssr/7835228493.html
Ford,Phaeton,69000,1929,6000,automatic,Unknown,Unknown,8,gas,Unknown,clean,https://chicago.craigslist.org/nch/cto/d/sturgeon-bay-ford-hot-rod/7835226030.html
Mazda,6,3000,2006,140000,automatic,sedan,good,4,gas,Unknown,clean,https://chicago.craigslist.org/sox/cto/d/new-lenox-used-2006-mazda/7835225172.html
Chevy,malibu,4500,2011,97000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2011-chevy-malibu-ltz/7835223835.html
Chrysler,town & country,6000,2014,87000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2014-chyrsler-town-country/7835223685.html
Bmw,x5 xdrive35i,15500,2015,65012,automatic,SUV,excellent,Unknown,gas,Unknown,rebuilt,https://chicago.craigslist.org/nwc/cto/d/arlington-heights-bmw-x5-xdrive35i/7835223633.html
Volkswagen,Unknown,5000,2014,87000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2014-volkswagan-tauran/7835223503.html
Nissan,sentra,5000,2015,84000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2015-nissan-sentra/7835223372.html
Nissan,sentra,5000,2016,80000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2016-nissan-quest/7835223251.html
Honda,odyssey,3500,2008,97000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2008-honda-oddessy/7835223053.html
Chevrolet,SSR,5999,2015,155000,automatic,sedan,like new,4,gas,1G11C5SL5FU152480,clean,https://chicago.craigslist.org/wcl/cto/d/elk-grove-village-2015-chevy-malibu-lt/7835220974.html
Gmc,Unknown,5000,1954,40000,manual,truck,good,6,gas,Unknown,clean,https://chicago.craigslist.org/sox/cto/d/beecher-1954-gmc-window-ton-truck/7835219476.html
Peterbilt,567,52000,2017,354000,manual,truck,good,6,diesel,Unknown,clean,https://chicago.craigslist.org/sox/cto/d/beecher-peterbilt-2017-model-567/7835219021.html
Volvo,vnl 670,5000,2006,14390,manual,truck,good,Unknown,diesel,Unknown,clean,https://chicago.craigslist.org/nwi/cto/d/gary-volvo-semi-truck/7835217721.html
Chevy,malibu,12000,2011,148800,automatic,pickup,excellent,6,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/palatine-2011-chevy-silverado-1500/7835212422.html
Freightliner,M2 106 Medium Duty,32000,2016,300000,automatic,truck,excellent,6,diesel,1FVACWDU9GHGW9642,clean,https://chicago.craigslist.org/chc/cto/d/posen-2016-freighliner-m6/7835211956.html
Saturn,aura,2000,2009,153000,manual,sedan,Unknown,4,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2009-saturn-aura/7835209530.html
Nissan,sentra,4000,2012,108865,automatic,SUV,good,6,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/schaumburg-2012-nissan-pathfinder/7835208851.html
Acura,tl,6000,2008,158000,automatic,sedan,excellent,6,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/itasca-2008-acura-tl/7835201392.html
Ford,Phaeton,4800,2009,187435,automatic,pickup,Unknown,8,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/new-lenox-2009-ford-f150-xlt-4x4/7835190524.html
Chevrolet,SSR,7400,2010,178000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/sox/cto/d/joliet-2010-chevy-avalanche/7835187470.html
Subaru,outback,6675,2003,168302,automatic,Unknown,good,4,gas,JF1SG65693H742204,clean,https://chicago.craigslist.org/chc/cto/d/chicago-winter-certified-polar-vortex/7835185114.html
Mini,cooper s,5995,2009,169711,manual,hatchback,excellent,4,gas,WMWMF73539TX40408,clean,https://chicago.craigslist.org/chc/cto/d/clean-mini-cooper-6-spd-t/7835185031.html
Subaru,outback,7850,2009,141868,automatic,SUV,like new,4,gas,4S4BP61CX97324038,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2009-subaru-outback-25i-awd/7835184928.html
Honda,odyssey,6800,2009,156786,automatic,SUV,excellent,4,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/fox-valley-2009-honda-crv-exl-one-owner/7835182076.html
Subaru,outback,4000,2007,139000,automatic,SUV,excellent,6,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-07-subaru-tribeca-b9/7835179599.html
Cadillac,Unknown,15000,1976,84000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/nch/cto/d/deerfield-1976-cadillac-eldorado/7835174084.html
Ford,Phaeton,8700,2013,102480,automatic,sedan,like new,4,gas,3FA6P0H95DR240357,clean,https://chicago.craigslist.org/nch/cto/d/glenview-2013-ford-fusion-se/7835165607.html
Ford,Phaeton,2500,2000,175000,automatic,SUV,good,8,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/naperville-2000-ford-excursion/7835163116.html
Toyota,corolla,6800,2010,97000,automatic,sedan,fair,4,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2010-toyota-corolla/7835145309.html
95.,Corvette.,11900,1995,83700,automatic,coupe,good,8,gas,Unknown,clean,https://chicago.craigslist.org/wcl/cto/d/elgin-corvette/7835141832.html
Infinity,JX35,6000,2013,144000,automatic,SUV,like new,6,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2013-infinity-jx35/7835139749.html
Chevy,malibu,5500,2014,114000,automatic,sedan,good,4,gas,Unknown,clean,https://chicago.craigslist.org/sox/cto/d/chicago-2014-chevy-impala-lt-114k/7835139129.html
Honda,odyssey,13900,2017,28233,automatic,coupe,excellent,4,gas,1HGCT1B34HA001208,clean,https://chicago.craigslist.org/nwc/cto/d/bartlett-2017-honda-accord-lx-coupe/7835137523.html
Infiniti,qx80,13900,2014,151700,automatic,SUV,good,8,gas,JN8AZ2NE1E9067210,rebuilt,https://chicago.craigslist.org/nwc/cto/d/mount-prospect-2014-infiniti-qx80/7835136850.html
Jeep,Wrangler Sahara,13900,2012,117000,automatic,SUV,excellent,6,gas,1C4GJWBGXCL169891,clean,https://chicago.craigslist.org/wcl/cto/d/elgin-2012-jeep-wrangler-sahara-super/7835133842.html
Dodge,grand caravan sxt,12800,2009,130966,automatic,pickup,good,8,gas,Unknown,clean,https://chicago.craigslist.org/sox/cto/d/channahon-2009-dodge-ram-1500-quad-cab/7835133617.html
Jeep,Wrangler Sahara,3900,1989,186000,manual,SUV,good,4,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/naperville-1989-jeep-wrangler-4x4/7835129731.html
Porsche,944 Turbo,11900,1987,107000,manual,coupe,fair,4,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/hoffman-estates-porsche-944-turbo-951/7835129464.html
Ford,Phaeton,6000,2005,230000,automatic,pickup,fair,8,diesel,1FTWW31P75EB97815,clean,https://chicago.craigslist.org/nwc/cto/d/lemont-2005-ford-f350-super-duty-60/7835127212.html
Acura,tl,4495,2007,123059,automatic,SUV,excellent,4,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2007-acura-rdx/7835124449.html
Honda,odyssey,1995,1996,198000,automatic,sedan,good,4,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-1996-honda-accord-for-sale/7835123725.html
Kia,rio,7000,2015,115000,automatic,sedan,good,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/wheaton-kia-rio/7835121082.html
Honda,odyssey,2400,1999,61000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/elgin-99-honda-civic-61-miles/7835118789.html
Porche,panamera 4,400,2018,47251,automatic,Unknown,new,6,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-carvanna-approval/7835117282.html
Chevy,malibu,4200,2002,157000,automatic,pickup,fair,8,gas,Unknown,clean,https://chicago.craigslist.org/nwc/cto/d/algonquin-2002-silverado/7835113598.html
Ford,Phaeton,5500,2014,103000,automatic,sedan,like new,4,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/dekalb-ford-fiesta-se/7835113588.html
Subaru,outback,4500,2006,106000,automatic,sedan,good,6,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/berwyn-2006-subaru-legacy-106k-miles-awd/7835108071.html
Isuzu,Trooper,3500,2002,120000,automatic,SUV,good,6,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/berwyn-2002-isuzu-trooper-120k-miles/7835101254.html
Jeep,Wrangler Sahara,5000,2003,235000,automatic,SUV,good,6,gas,Unknown,clean,https://chicago.craigslist.org/chc/cto/d/chicago-2003-jeep-wrangler/7835099005.html
