Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Mazda,Mazda3,Unknown,2019,Unknown,automatic,hatchback,Unknown,4,gas,JM1BPAMM8K1118401,clean,https://losangeles.craigslist.org/lac/ctd/d/norco-2019-mazda-mazda3-hatchback/7832864633.html
Toyota,camry,350,2015,110000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/gardena-toyota-camry-for-rent/7832863943.html
Chevrolet,3100 truck,19000,1953,99,automatic,truck,good,8,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-1953-chevy-window-pickup-ls/7832863699.html
Toyota,4runner,6850,2007,262042,automatic,SUV,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/gardena-toyota-4runner-2007-clean-title/7832863173.html
Ford,explorer,3000,2007,107,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/valencia-2007-ford-explorer/7832861880.html
Ford,thunderbird classic,13995,1965,85944,automatic,Unknown,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-1965-ford-thunderbird-well-kept/7832861436.html
Toyota,Tundra SR5 4D CrewMax automatic,25994,2014,102298,automatic,pickup,Unknown,Unknown,gas,5TFEY5F14EX166144,clean,https://losangeles.craigslist.org/sfv/ctd/d/westlake-village-2014-toyota-tundra-for/7832861241.html
Honda,Civic EX 4D Hatchback,26342,2021,24352,Unknown,hatchback,Unknown,Unknown,gas,SHHFK7H63MU414756,clean,https://losangeles.craigslist.org/sfv/ctd/d/westlake-village-2021-honda-civic-white/7832861090.html
Honda,Civic LX 4D Sedan,20910,2020,62728,Unknown,sedan,Unknown,Unknown,gas,19XFC2F67LE209823,clean,https://losangeles.craigslist.org/sfv/ctd/d/westlake-village-2020-honda-civic-low/7832861007.html
Bmw,524 TD TURBO DIESEL,8900,1985,125000,automatic,sedan,good,6,diesel,Unknown,clean,https://losangeles.craigslist.org/lgb/cto/d/signal-hill-1985-bmw-524td-turbo-diesel/7832860895.html
Honda,CR-V EX 4D Sport Utility,20905,2018,66978,Unknown,SUV,Unknown,Unknown,gas,7FARW1H59JE052150,clean,https://losangeles.craigslist.org/sfv/ctd/d/westlake-village-2018-honda-cr-on/7832860899.html
Acimoto,fuv,6995,2022,551,automatic,Unknown,like new,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-2022-arcimoto-fuv-one-owner/7832860786.html
Toyota,tacoma prerunner v6,11995,2005,186393,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-2005-toyota-tacoma-prerunner-v6/7832860348.html
Mercedes,Benz ml350,9495,2014,135248,automatic,Unknown,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-2014-mercedes-benz-class-ml-350/7832860177.html
Chevrolet,corvette,8950,1990,205000,automatic,convertible,excellent,8,gas,1G1YY3385L5119676,clean,https://losangeles.craigslist.org/sfv/cto/d/chatsworth-corvette-1990-convertible/7832860136.html
Ford,f150 xlt supercrew 4x4,11995,2013,162122,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-2013-ford-150-xlt-4x4-supercrew/7832860021.html
Nissan,pathfinder 4wd 4dr sv,8995,2014,92033,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-2014-nissan-pathfinder-sl-4x4/7832859688.html
Ford,e450 shuttle bus,13995,2011,137455,automatic,bus,excellent,Unknown,other,Unknown,clean,https://losangeles.craigslist.org/sfv/ctd/d/pacoima-2011-ford-series-450-game-bus/7832859501.html
Lexus,RX 330,4900,2004,166021,automatic,SUV,good,6,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2004-lexus-rx-330/7832859418.html
