Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Toyota,camry se,14999,2011,220000,automatic,pickup,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2011-toyota-tacoma/7836364238.html
Buick,lesabre custom,2750,2004,237000,automatic,sedan,excellent,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/elgin-2004-buick-lesabre-custom/7836363061.html
Honda,Accord LX,6990,2009,150000,automatic,hatchback,excellent,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2009-accord-ex-25-liter-miles/7836360962.html
Bmw,m3 m4 m5 e30 e24 e28 e31 e34 e38 e46,20000,2007,150000,manual,coupe,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-e36-m3-bmw-manual/7836355080.html
Bmw,m3 m4 m5 e30 e24 e28 e31 e34 e38 e46,12999,1999,138000,automatic,coupe,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-bmw-e36-m3-e46-e39-e30-e24/7836354784.html
Bmw,m3 m4 m5 e30 e24 e28 e31 e34 e38 e46,15000,1999,91000,manual,convertible,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-e36-bmw-manual-e30-e24-e28-e31/7836354674.html
Nissan,juke sv,5000,2010,250000,automatic,sedan,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-2010-altima-sl-with-250k/7836348006.html
Ford,mustang,16500,2020,175948,automatic,pickup,like new,8,gas,1FT7W2B6XLEC23048,clean,https://austin.craigslist.org/cto/d/austin-two-owner-accident-free-2020/7836347694.html
Toyota,camry se,10500,2000,89000,manual,pickup,Unknown,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/georgetown-2000-toyota-tacoma-x-low/7836343289.html
Tesla,Model S,47497,2022,23000,automatic,sedan,excellent,Unknown,electric,Unknown,clean,https://austin.craigslist.org/cto/d/leander-2022-tesla-model-rare-perfectly/7836342971.html
Nissan,juke sv,6800,2017,133000,automatic,SUV,like new,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2017-nissan-rogue-awd/7836342453.html
Chevrolet,tahoe ls,1,2011,46000,automatic,pickup,like new,8,gas,3GCPKSE38BG324139,clean,https://austin.craigslist.org/cto/d/huntsville-2011-chevy-1500-crew-cab-4x4/7836341973.html
Dodge,Ram 3500,12995,2003,130206,automatic,pickup,excellent,6,diesel,3D7LA38C73G811116,rebuilt,https://austin.craigslist.org/cto/d/austin-2003-dodge-ram-3500-quad-cab/7836339606.html
Chevrolet,tahoe ls,4800,2015,110000,automatic,sedan,fair,4,diesel,1G1P75SZ9F7155271,clean,https://austin.craigslist.org/cto/d/austin-owner-2015-chevrolet-cruze/7836338534.html
Mazda,b2500 b3000 b4000,3900,2008,169000,automatic,sedan,like new,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2008-mazda/7836335521.html
