Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Dodge,Ram Light Duty 1500,17700,2020,152000,automatic,pickup,like new,6,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/lawrenceville-2020-ram-big-horn/7836288637.html
Ford,Focus BEV,11900,2003,194000,automatic,truck,good,8,diesel,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/dawsonville-2003-f350-superduty/7836287442.html
Jeep,grand cherokee,17900,2008,126000,automatic,SUV,excellent,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/dawsonville-2008-jeep-rubicon/7836287193.html
Ford,Focus BEV,34995,2016,23650,automatic,bus,good,10,gas,1FDGF5GY1GEC05244,clean,https://atlanta.craigslist.org/atl/cto/d/stockbridge-2016-f550-shuttle-bus/7836286812.html
Jeep,grand cherokee,2500,2004,243755,automatic,SUV,good,6,gas,1J4GK48K54W116541,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-2004-jeep-liberty-sport-drives/7836285041.html
Toyota,land cruiser,1600,2003,293300,automatic,sedan,fair,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/flowery-branch-2003-toyota-camry-le-v6/7836281201.html
Volkswagen,Jetta SEL,5500,2012,90000,automatic,sedan,excellent,5,gas,3VWLP7AJ1CM301562,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2012-volkswagen-jetta-sel/7836281023.html
Chevy,silverado 1500,17999,2017,58000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2017-chevrolet-silverado-lt-4x4/7836280771.html
Saturn,aura,3000,2009,115000,automatic,Unknown,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2009-saturn-aura-malibu-super/7836280720.html
Ford,Focus BEV,2499,2012,201000,automatic,SUV,like new,4,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/pine-lake-2012-ford-escape-xlt-4cyl-suv/7836279946.html
Gmc,sierra 1500,10995,2013,212000,automatic,pickup,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/kennesaw-2013-gmc-sierra-x4/7836277716.html
Honda,Pilot EX-L,3600,2009,154000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2009-honda-accord/7836276406.html
Chevrolet,silverado 1500,20000,2008,25800,automatic,pickup,excellent,8,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/hazelwood-2008-chevrolet-silverado-25k/7836276401.html
Homda,odyssey,3300,2006,152000,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2006-honda-odyssey/7836276216.html
Honda,Pilot EX-L,9100,2009,80587,automatic,minivan,good,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/conyers-2009-honda-odyssey-ex/7836274370.html
Chrysler,200 200S,3925,2015,166119,automatic,sedan,good,6,gas,1C3CCCBGXFN529987,clean,https://atlanta.craigslist.org/atl/cto/d/norcross-2015-chrysler-s200/7836269732.html
Honda,Pilot EX-L,8500,2011,140812,automatic,Unknown,like new,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/lawrenceville-honda-accord-crosstour-v6/7836269585.html
Audi,Q5 3.0T Premium Plus S Line,7999,2015,170936,automatic,SUV,like new,6,gas,WA1DGAFP5FA046296,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2015-audi-q5-in-excellent/7836267232.html
Duramax,2500HD GMC SIERRA,47000,2019,129000,automatic,pickup,like new,8,diesel,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/montmorenci-2500-hd-gmc-sierra-slt-4x4/7836261977.html
Rockford,Fosgate,1000,2025,12,other,other,excellent,12,electric,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/mcdonough-rockford-fosgate-power-dvc-12/7836255992.html
Kicker,Comp Q,300,2025,15,other,other,new,Unknown,electric,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/mcdonough-kicker-comp-15/7836255964.html
Toyota,land cruiser,22300,2021,30000,automatic,hatchback,like new,4,hybrid,Unknown,clean,https://atlanta.craigslist.org/sat/cto/d/mcdonough-2021-prius-prime-limited-plug/7836255706.html
Ford,Focus BEV,4400,2009,102000,automatic,SUV,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2009-ford-edge-awd-sel-roof-ac/7836253102.html
Toyota,land cruiser,4199,2009,133000,automatic,sedan,good,4,hybrid,4T1BB46K19U084825,clean,https://atlanta.craigslist.org/nat/cto/d/lawrenceville-no-repairs-neededtoyota/7836252169.html
Chevrolet,silverado 1500,4099,2011,122000,automatic,sedan,excellent,6,gas,2G1WB5EK2B1217805,clean,https://atlanta.craigslist.org/nat/cto/d/lilburn-no-repairs-neededwant-clean/7836252063.html
Jeep,grand cherokee,4500,2011,132000,automatic,SUV,good,6,gas,1J4PP2GK3BW532109,clean,https://atlanta.craigslist.org/atl/cto/d/lilburn-low-mileage-clean-great-running/7836252004.html
Honda,Pilot EX-L,8000,2008,157000,automatic,hatchback,like new,4,gas,Unknown,clean,https://atlanta.craigslist.org/sat/cto/d/hampton-2008-honda-element-ex/7836244803.html
Infiniti,g37,11000,2013,78738,automatic,coupe,good,6,gas,JN1CV6ELXDM982643,rebuilt,https://atlanta.craigslist.org/wat/cto/d/douglasville-2013-infiniti-g37x-coupe/7836243947.html
Toyota,land cruiser,3500,2001,215000,automatic,SUV,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/decatur-2001-toyota-sequoia-sr/7836241473.html
Nissan,Frontier,15900,2022,57998,automatic,sedan,excellent,4,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/duluth-2022-nissan-altima-25sv-clean/7836237777.html
Genesis,g90,17750,2019,67300,automatic,sedan,excellent,4,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/duluth-2019-genesis-g70-20t-awd/7836233891.html
Avalon,Unknown,3000,1999,166000,automatic,sedan,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/braselton-1999-avalon-for-sale/7836228121.html
Honda,Pilot EX-L,7999,2013,158000,automatic,sedan,excellent,4,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/roswell-2013-honda-accord-ex/7836226609.html
