Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Volvo,V60,7450,2017,126000,automatic,wagon,excellent,4,gas,YV140MEKXH1367247,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2017-volvo-v60-t5-premier/7836416672.html
Ford,f450 super duty,8300,2012,187000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/san-diego-2012-ford-f150-extra-cab-4x4/7836416510.html
Mercedes-Benz,GLE450 4MATIC / GLE450 4-M Turbo,9950,2010,104000,automatic,sedan,excellent,8,gas,WDDHF7CB8AA059998,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2010-mercedes-benz-e550-sport/7836416361.html
Ford,f450 super duty,8300,2012,187000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/san-diego-2012-ford-f150-extra-cab-4x4/7836416219.html
Chrysler,200 Touring,4950,2012,126000,automatic,convertible,excellent,4,gas,1C3BCBEBXCN218948,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2012-chrysler-200-touring/7836416209.html
Bmw,335i,14500,2015,59954,manual,sedan,excellent,6,gas,Unknown,rebuilt,https://sandiego.craigslist.org/csd/cto/d/san-diego-2015-bmw-speed/7836414235.html
Mini,Convertible Cooper,22000,2019,7700,automatic,coupe,like new,4,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/cardiff-by-the-sea-2019-mini-cooper/7836413381.html
Honda,Civic LX,9900,2010,99365,automatic,sedan,excellent,6,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/el-cajon-2010-honda-accord-crosstour-v6/7836413358.html
Ford,f450 super duty,16500,2002,163000,automatic,pickup,excellent,8,diesel,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/jamul-ford-f350-4x4-lariat-diesel/7836413264.html
Audi,A5 Premium Plus Quattro,12600,2012,72000,automatic,coupe,excellent,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/el-cajon-2012-audi-s5-clean-title-mile/7836412577.html
Mazda,3,2800,2012,147000,automatic,hatchback,good,4,gas,Unknown,clean,https://sandiego.craigslist.org/ssd/cto/d/san-diego-mazda/7836412403.html
Toyota,Unknown,5200,2007,182000,automatic,sedan,excellent,6,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/el-cajon-2007-toyota-camry-xle-v6-clean/7836411197.html
Audi,A5 Premium Plus Quattro,2950,2006,114921,automatic,sedan,good,6,gas,Unknown,clean,https://sandiego.craigslist.org/esd/cto/d/santee-2006-audi-a4-quattro-30-line/7836410478.html
Toyota,Unknown,49999,2024,16000,automatic,offroad,excellent,6,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-toyota-trd-off-road-premium/7836409351.html
Tesla,Unknown,15500,2015,64000,automatic,sedan,excellent,Unknown,electric,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/escondido-2015-tesla-model-85d-dual/7836408469.html
Chevy,tahoe,7800,1978,93000,automatic,Unknown,excellent,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/escondido-1978-el-camino/7836407560.html
