Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Mercedes-Benz,E350,18000,2013,90500,automatic,sedan,excellent,8,gas,WDDNG9EB6DA509953,clean,https://philadelphia.craigslist.org/cto/d/west-chester-2013-mercedes-s550-4matic/7836264189.html
Mercury,Sable ls,3495,2003,69000,automatic,sedan,excellent,6,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2003-mercury-sable-ls/7836261453.html
Chevrolet,SILVERADO 1500,8500,2017,123421,automatic,sedan,good,4,gas,3G1BE6SM6HS603688,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2017-chevy-cruze-8500-obo/7836254380.html
Honda,odyssey,5000,2003,159000,automatic,SUV,good,6,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/2003-honda-pilot/7836253022.html
Infinit,G35,4500,2003,158000,automatic,sedan,good,6,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/2003-infiniti-g35/7836252823.html
Toyota,prius prime,6000,2005,122000,automatic,SUV,good,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/2005-toyota-rav4-owner/7836252520.html
Nissan,rogue,2800,2005,153000,automatic,SUV,excellent,Unknown,gas,JN8AZ08W65W440235,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2005-nissan-murano/7836230097.html
Bmw,3 series,2500,2003,239000,automatic,sedan,good,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2003-bmw-series/7836229607.html
Dodge,ram 2500,2900,2006,230,other,Unknown,like new,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/huntingdon-valley-dodge-magnum/7836229373.html
Lexus,rx 400h awd,4100,2006,170000,automatic,Unknown,Unknown,6,hybrid,Unknown,clean,https://philadelphia.craigslist.org/cto/d/morrisville-2006-lexus-rx-400h-leather/7836229124.html
Dodge,ram 2500,4000,2010,124000,automatic,SUV,Unknown,4,gas,3D4PG4FB9AT116945,clean,https://philadelphia.craigslist.org/cto/d/holmes-2010-dodge-journey/7836221445.html
2001,Unknown,3000,2001,71000,automatic,Unknown,excellent,8,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-only-2owners-title-clean/7836218689.html
Nissan,rogue,5500,2014,161458,automatic,SUV,excellent,6,gas,5N1AR2MM5EC664962,clean,https://philadelphia.craigslist.org/cto/d/norristown-excelent-platinum-pathfinder/7836217851.html
Chevy,Silverado 2500hd,2500,1985,116000,automatic,coupe,fair,8,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/folcroft-1985-corvette/7836209365.html
Bmw,3 series,5000,2011,146000,automatic,sedan,good,6,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/abington-2011-btw-328i-series-luxury-car/7836200444.html
Toyota,prius prime,2250,2005,175000,automatic,sedan,fair,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/southampton-2005-toyota-camry/7836197287.html
Kia,soul,3800,2014,97000,automatic,Unknown,good,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2014-kia-soul/7836192262.html
Mazda,Miata,8950,2008,124000,automatic,Unknown,excellent,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/new-hope-2008-mazda-miata-grand-touring/7836189335.html
Chevy,Silverado 2500hd,5500,2016,101000,automatic,sedan,good,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2016-chevy-cruze/7836182494.html
Honda,odyssey,7900,2011,147000,automatic,minivan,like new,6,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2011-honda-odyssey-ex-clean/7836171652.html
Honda,odyssey,4400,2010,150000,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/towson-2010-honda-odyssey-van/7836164491.html
Bentley,Continental GT,195000,2021,8200,automatic,convertible,new,12,gas,SCBDB4ZG5MC087873,clean,https://philadelphia.craigslist.org/cto/d/gladwyne-2021-bentley-continental-gt/7836159937.html
Ford,edge sel,14500,2008,180000,automatic,truck,excellent,Unknown,diesel,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2008-ford-f550-super-duty/7836155077.html
Ford,edge sel,14500,1996,40000,automatic,truck,excellent,8,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-1996-ford-f350-dump-truck/7836148790.html
