Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Ford,f350 super duty,9500,2002,58900,automatic,coupe,excellent,8,gas,Unknown,clean,https://seattle.craigslist.org/oly/cto/d/tumwater-2002-ford-mustang-gt/7836400052.html
Volkswagen,jetta,13000,2017,52526,automatic,wagon,good,4,gas,3VWH17AU6HM516766,clean,https://seattle.craigslist.org/see/cto/d/seattle-2017-volkswagen-golf-alltrack/7836397281.html
1962Impala,convertible,27,1962,,automatic,convertible,excellent,8,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/port-orchard-1962-impala-convertible/7836396801.html
Subaru,legacy wagon,6450,2015,171000,automatic,SUV,good,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bothell-reliable-2015-subaru-forester/7836394153.html
Nissan,altima sl,7800,2015,105000,automatic,sedan,excellent,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/mount-vernon-2015-nissan-sentra-4-drs/7836390918.html
Honda,civic lx,6945,1998,112000,manual,van,good,3,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-1998-honda-acty-van-kei-import/7836390239.html
Ram,1500,2400,1998,216000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/granite-falls-1998-dodge-ram-1500-sport/7836388824.html
Saturn,vue,2000,2007,223000,automatic,SUV,good,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-07-saturn-vue/7836387802.html
Honda,civic lx,12900,2003,200000,manual,SUV,like new,4,gas,5J6YH175X3L018781,clean,https://seattle.craigslist.org/see/cto/d/coupeville-2003-honda-element-ex-one/7836386577.html
Ford,f350 super duty,24950,1970,35840,automatic,Unknown,excellent,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/arlington-1970-ranchero-gt-factory/7836385632.html
Mazda,6,3500,2004,150000,automatic,Unknown,excellent,6,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/puyallup-2004-mazda-mpv-lx-awd-runs/7836385629.html
Jeep,grand cherokee limited,5500,2004,120000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/puyallup-2004-jeep-grand-cherokee/7836385526.html
Hobie,Cat Boat & Trailer,200,1986,1,other,Unknown,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/retsil-liberty-towing-1986-hobie-cat/7836384976.html
Chevy,express 1500,5950,2002,106000,automatic,van,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-2002-chevy-express-cargo-1500/7836384752.html
Kia,optima,1,2015,150000,automatic,sedan,good,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bonney-lake-2015-kia-optima/7836384429.html
Nissan,altima sl,7,2016,130015,automatic,sedan,excellent,6,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bonney-lake-2016-nissan-maxima/7836381493.html
Kia,optima,7650,2021,101695,automatic,sedan,excellent,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bonney-lake-2021-kia-optima/7836380902.html
Subaru,legacy wagon,7500,2005,223000,manual,wagon,Unknown,Unknown,gas,JF1GG29615G809850,clean,https://seattle.craigslist.org/tac/cto/d/gig-harbor-2005-wrx-ej25-swap/7836379699.html
Kia,optima,1500,2004,174877,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/lynnwood-04-kia-sedona7-passenger/7836378426.html
Dodge,ram 1500,7900,2014,105213,automatic,SUV,excellent,8,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/university-place-2014-dodge-durango-v8/7836378326.html
Chevrolet,Colorado ZR2,10255,2017,98000,other,hatchback,excellent,4,hybrid,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/lynnwood-chevrolet-volt-hybrid-great/7836377039.html
Toyota,Tundra Limited,3950,2002,265000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-2002-toyota-rav4-awd/7836376627.html
Toyota,Tundra Limited,5900,2002,307000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-2002-toyota-4runner-sr5-4x4-runs/7836376154.html
Toyota,Tundra Limited,3400,2004,210000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-2004-toyota-camry-le-runs-and/7836375604.html
Nissan,altima sl,1,2005,90000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/yakima-nissan-titan-king-cab/7836372756.html
Ford,f350 super duty,124950,1978,120864,automatic,Unknown,like new,8,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/arlington-1978-australian-falcon-xc/7836372086.html
Ford,f350 super duty,12900,2006,65983,automatic,SUV,new,8,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/happy-valley-2006-ford-expedition-suv/7836371168.html
Toyota,Tundra Limited,400,2001,162000,automatic,sedan,Unknown,Unknown,gas,Unknown,parts only,https://seattle.craigslist.org/est/cto/d/bellevue-toyota-camry-mils-bad/7836369933.html
Ford,f350 super duty,3000,2010,98000,automatic,hatchback,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bothell-2010-ford-focus-runs-looks/7836368832.html
Ford,f350 super duty,12900,2000,130233,automatic,pickup,excellent,8,diesel,Unknown,clean,https://seattle.craigslist.org/see/cto/d/portland-2000-ford-ton-extend-cab-4dr/7836366040.html
Nissan,altima sl,1,2005,90000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/yakima-nissan-titan-king-cab/7836365659.html
Honda,civic lx,5000,1989,200000,manual,Unknown,good,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-1989-honda-civic-wagon-rt4wd/7836364428.html
Nissan,altima sl,1500,2009,186240,automatic,SUV,good,Unknown,gas,JN8AS58V19W447401,clean,https://seattle.craigslist.org/see/cto/d/seattle-2009-nissan-rogue-awd-sl/7836364101.html
Ford,f350 super duty,5400,2005,152000,manual,pickup,Unknown,6,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/lake-stevens-ford-ranger/7836363864.html
Vw,beetle,11000,2013,96000,automatic,convertible,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bothell-2013-volkswagen-beetle/7836362033.html
Chevrolet,Colorado ZR2,6900,1965,100000,automatic,coupe,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-1965-impala-coupe-project-obo/7836360320.html
Jaguar,xj8,4500,2000,106000,automatic,sedan,good,8,gas,Unknown,clean,https://seattle.craigslist.org/kit/cto/d/nordland-2000-jaguar-xj8/7836360274.html
Dodge,ram 1500,16500,2005,145000,automatic,pickup,Unknown,Unknown,diesel,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/puyallup-2005-dodgeram-long-bed/7836357933.html
Dodge,ram 1500,16000,2005,198000,automatic,pickup,good,6,diesel,3D7LR38C65G722956,clean,https://seattle.craigslist.org/sno/cto/d/marysville-2005-dodge-ram-turbo-cummins/7836357806.html
Cony,Unknown,15000,1969,1,manual,truck,fair,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/blaine-1961-cony-mini-hawk/7836357486.html
Mazda,6,6200,2009,108000,other,SUV,good,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-2009-mazda-cx7-108k-mi/7836356939.html
Toyota,Tundra Limited,5500,1999,130000,automatic,sedan,excellent,4,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/lake-stevens-toyota-camry-le-very-low/7836355249.html
Ford,f350 super duty,13800,2013,97470,automatic,pickup,excellent,6,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/renton-2013-ford-f150-xl-4x4/7836355078.html
Bmw,x5,21800,2018,53756,automatic,sedan,excellent,4,diesel,Unknown,clean,https://seattle.craigslist.org/see/cto/d/ponderay-50-mpg-awd-diesel53k2018-bmw/7836353057.html
Mazda3,sport touring,2950,2005,167212,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-05-mazda3-one-owner-excellent/7836351302.html
Gmc,SIERRA,5550,2002,100000,automatic,pickup,good,8,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bellingham-2002-gmc-sierra-1500-pickup/7836350387.html
Toyota,Tundra Limited,800,2002,250000,automatic,sedan,fair,Unknown,hybrid,Unknown,rebuilt,https://seattle.craigslist.org/see/cto/d/kent-2002-toyota-prius-doesnt-run-no-cat/7836349570.html
Ford,f350 super duty,3750,1997,103000,automatic,pickup,good,6,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bellingham-1997-f150-pickup-truck-low/7836348228.html
Bmw,x5,5000,2008,205500,automatic,sedan,fair,8,gas,WBANV93548CZ68421,clean,https://seattle.craigslist.org/sno/cto/d/monroe-bmw-535xi/7836335877.html
Jeepster,2 dr. convertible.,4500,1950,1,other,Unknown,good,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/puyallup-1950-jeep-jeepster/7836333213.html
Iszuzu,npr,9990,2004,266539,automatic,truck,good,4,diesel,Unknown,clean,https://seattle.craigslist.org/oly/cto/d/olympia-2004-isuzu-npr-box-truck/7836330008.html
Bmw,x5,5000,2008,205506,automatic,sedan,fair,8,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/monroe-bmw/7836326431.html
Gmc,SIERRA,19000,1972,10000,automatic,pickup,good,8,gas,Unknown,clean,https://seattle.craigslist.org/skc/cto/d/auburn-1972-gmc-k15/7836325799.html
Suzuki,carry,8500,1996,97000,automatic,Unknown,excellent,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-1996-low-miles-tracker-geo/7836322327.html
Geo,metro,8350,1992,56500,manual,Unknown,excellent,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-geo-metro-low-miles/7836322108.html
Nissan,altima sl,3950,2004,195100,automatic,SUV,good,8,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/lynnwood-2004-nissan-armada/7836316841.html
Bmw,x5,5000,1986,200000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-e30-bmw-e2000/7836309617.html
Polestar,ps2,9500,2023,17000,automatic,sedan,fair,Unknown,electric,Unknown,clean,https://seattle.craigslist.org/skc/cto/d/black-diamond-2023-polestar-awd-long/7836307452.html
Ford,f350 super duty,10000,2001,64250,automatic,van,excellent,8,gas,1FTNE24LX1HA72298,clean,https://seattle.craigslist.org/see/cto/d/seattle-2001-ford-e250-conversion-van/7836305763.html
Chevrolet,Colorado ZR2,2500,2004,141000,automatic,sedan,good,4,gas,1G1ND52F74M700260,salvage,https://seattle.craigslist.org/see/cto/d/bothell-2004-malibu-classic-accessible/7836302468.html
Ford,f350 super duty,42000,2004,147000,automatic,truck,Unknown,Unknown,diesel,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/snohomish-2004-ford-f650-service-truck/7836299673.html
