Price,Year,Mileage,Cylinders,Brand_Encoded,Model_Encoded,Fuel Type_diesel,Fuel Type_gas,Transmission_automatic,Transmission_manual,Body Type_convertible,Body Type_coupe,Body Type_minivan,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Condition_excellent,Condition_fair,Condition_good,Title Status_clean,Title Status_rebuilt,Title Status_salvage
0.9041406152082209,0.7586150699934817,-0.7567346582868196,0.1764461683101463,0.5183703228355063,0.5183703228355063,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
-1.352184010112973,-0.0143134918866761,-0.3696043405035866,0.1764461683101463,-1.7848726967378044,-1.7848726967378044,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
-0.6000758016725751,0.5009722160334291,-0.1572806688802932,-1.0939662435229076,-0.5779393164072086,-0.5779393164072086,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1.3403633761036515,0.9303769726335168,-1.7011146368814627,-1.0939662435229076,0.8608784442806754,0.8608784442806754,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
-0.9460455775551582,-0.3578372971667463,0.5681352919877262,0.1764461683101463,-1.0933041245676456,-1.0933041245676456,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0.4378335259751741,-0.27195634584672873,-0.9570982667604172,0.1764461683101463,-0.11204317605632655,-0.11204317605632655,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
-0.3142746824652239,-1.130765859046904,1.5167561638920593,1.4468585801432003,-0.11204317605632655,-0.11204317605632655,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
-0.9009190850487343,0.4150912647134116,-0.05869849983925467,-1.0939662435229076,-0.7920955331286187,-0.7920955331286187,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
-0.8257082642046945,0.07156745943334145,0.4673582746548306,0.1764461683101463,-1.0899286822113743,-1.0899286822113743,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
-0.41956983164687955,0.24332936207337652,0.7727397937710138,1.4468585801432003,-0.5538290138624141,-0.5538290138624141,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1.6562488236486188,-0.27195634584672873,-0.8268954019892342,0.1764461683101463,0.5183703228355063,0.5183703228355063,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
1.0244779285586845,0.8444960213134993,-0.7710941742301558,0.1764461683101463,1.3523031402672223,1.3523031402672223,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
-0.3744433391404557,-0.10019444320669364,-0.6989059859191613,1.4468585801432003,-0.6928178167677002,-0.6928178167677002,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0.828929794364181,0.4150912647134116,0.8977345439513493,1.4468585801432003,0.1493881436940922,0.1493881436940922,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
-0.013431399089064683,0.8444960213134993,-0.7502245150482605,-1.0939662435229076,-0.5779393164072086,-0.5779393164072086,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
-0.7655396075294626,0.24332936207337652,0.874744438114609,1.4468585801432003,-1.0105065091226395,-1.0105065091226395,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
